name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,serving_size_g,serving_size_issue,serving_size_g_clean,risk_energy,risk_fat_total,risk_saturated_fat,risk_sodium,risk_sugar,label_konsumsi,alasan_label,garam_g_estimasi,risk_energy_score,risk_fat_total_score,risk_saturated_fat_score,risk_sodium_score,risk_sugar_score,total_risk_score,persen_akg_energi,persen_akg_protein,persen_akg_lemak_total,persen_akg_karbohidrat,persen_akg_serat,persen_akg_natrium,persen_akg_garam,manufacturer_clean
Sariroti roti tawar kupas,PT. Nippon Indosari corporindo Tbk,1 g,110.0,3.0,19.0,2.0,1.0,170.0,1.0,5.12,5.0,5.85,2.99,11.33,0.0,12.0,0.0,6.0,6.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Batasi,Aman,Batasi,natrium %AKG sedang (11.33%),0.425,0,0,0,1,0,1,4.15,4.62,2.67,4.42,2.7,11.33,11.33,PT. Nippon Indosari corporindo Tbk.
Kin bulgarian yogurt orange,PT. ABC kogyn dairy,3 g,150.0,3.0,28.0,2.5,27.0,0.0,0.0,6.98,5.0,8.62,3.73,0.0,0.0,0.0,5.0,9.0,7.0,0.0,0.0,3.0,0,3.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (27.00 g),0.0,0,0,0,0,2,2,5.66,4.62,3.33,6.51,0.0,0.0,0.0,PT. ABC kogyn dairy
Biskuit serena egg rolls chocolate,PT. Monde Mahkota Biskuit,1 g,80.0,1.0,8.0,4.5,4.0,0.0,1.0,3.72,1.67,2.46,6.72,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.02,1.54,6.0,1.86,2.7,0.0,0.0,PT. Monde Mahkota Biskuit
Coklat Ferrero rocher,PT. Ferrero Rocher,1 g,238.0,3.0,18.0,16.0,15.0,0.0,1.0,11.07,5.0,5.54,23.88,0.0,0.0,0.0,0.0,6.0,12.0,24.0,0.0,1.0,0,1.0,Batasi,Waspada,Aman,Aman,Batasi,Waspada,energi %AKG sedang (11.07%); lemak total %AKG tinggi (23.88%); gula sedang (15.00 g),0.0,1,2,0,0,1,4,8.98,4.62,21.33,4.19,2.7,0.0,0.0,PT. Ferrero Rocher
Indomie goreng,PT. Indofood CBP Sukses Makmur Tbk.,2 g,380.0,8.0,54.0,14.0,8.0,0.0,2.0,17.67,13.33,16.62,20.9,0.0,0.0,0.0,0.0,17.0,18.0,21.0,0.0,2.0,0,2.0,Batasi,Waspada,Aman,Aman,Aman,Waspada,energi %AKG sedang (17.67%); lemak total %AKG tinggi (20.90%),0.0,1,2,0,0,0,3,14.34,12.31,18.67,12.56,5.41,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Nestle nestum,PT. Nestle Indonesia,1 g,130.0,3.0,27.0,1.5,9.0,0.0,1.0,6.05,5.0,8.31,2.24,0.0,0.0,0.0,5.0,9.0,7.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.91,4.62,2.0,6.28,2.7,0.0,0.0,PT. Nestle Indonesia
Indofood cap enak (kental manis),PT. Indofood indonesia,2 g,120.0,1.0,21.0,4.0,19.0,0.0,2.0,5.58,1.67,6.46,5.97,0.0,0.0,0.0,0.0,7.0,0.0,6.0,7.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (19.00 g),0.0,0,0,0,0,1,1,4.53,1.54,5.33,4.88,5.41,0.0,0.0,PT. Indofood indonesia
Momogi Bintang Coklat,PT. Sari Murni Abadi,1 g,50.0,1.0,6.0,3.0,0.0,20.0,0.0,2.33,1.67,1.85,4.48,1.33,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.05,0,0,0,0,0,0,1.89,1.54,4.0,1.4,0.0,1.33,1.33,PT. Sari Murni Abadi
King's Fisher sarden goreng balado,PT. Bali Maya Permai Food Canning Industry,8 g,120.0,8.0,4.0,8.0,0.0,0.0,0.0,5.58,13.33,1.23,11.94,0.0,0.0,0.0,14.0,0.0,6.0,12.0,0.0,8.0,0,8.0,Aman,Batasi,Aman,Aman,Aman,Batasi,lemak total %AKG sedang (11.94%),0.0,0,1,0,0,0,1,4.53,12.31,10.67,0.93,0.0,0.0,0.0,PT. Bali Maya Permai Food Canning Industry
Kewpie Caesar,Tidak Diketahui,1 g,70.0,1.0,3.0,6.0,0.0,190.0,0.0,3.26,1.67,0.92,8.96,12.67,0.0,13.0,0.0,0.0,4.0,9.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Batasi,Aman,Batasi,natrium %AKG sedang (12.67%),0.475,0,0,0,1,0,1,2.64,1.54,8.0,0.7,0.0,12.67,12.67,Tidak Diketahui
Indomie ayam geprek,PT. Indofood CBP Sukses Makmur Tbk.,3 g,410.0,9.0,49.0,20.0,6.0,0.0,3.0,19.07,15.0,15.08,29.85,0.0,0.0,0.0,0.0,16.0,20.0,30.0,0.0,3.0,0,3.0,Batasi,Waspada,Aman,Aman,Aman,Waspada,energi %AKG sedang (19.07%); lemak total %AKG tinggi (29.85%),0.0,1,2,0,0,0,3,15.47,13.85,26.67,11.4,8.11,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
"PT. Ultrajaya Milk Industry, Tbk","PT. Ultrajaya Milk Industry, Tbk",6 g,120.0,6.0,9.0,6.0,0.0,40.0,0.0,5.58,10.0,2.77,8.96,2.67,0.0,0.0,10.0,0.0,6.0,9.0,0.0,6.0,0,6.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.1,0,0,0,0,0,0,4.53,9.23,8.0,2.09,0.0,2.67,2.67,PT. Ultrajaya Milk Industry Tbk.
Nestle Milo 3in1 Activ-Go (Malt),PT. Nestle Indonesia,1 g,140.0,4.0,25.0,3.0,0.0,80.0,1.0,6.51,6.67,7.69,4.48,5.33,10.0,0.0,7.0,8.0,0.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (10.00%),0.2,0,0,1,0,0,1,5.28,6.15,4.0,5.81,2.7,5.33,5.33,PT. Nestle Indonesia
ABC Selera pedas hot gulai chicken,PT. Heinz ABC Indonesia,21 g,270.0,7.0,34.0,12.0,1.0,0.0,21.0,12.56,11.67,10.46,17.91,0.0,0.0,0.0,0.0,0.0,13.0,18.0,70.0,21.0,0,21.0,Batasi,Batasi,Aman,Aman,Aman,Batasi,energi %AKG sedang (12.56%); lemak total %AKG sedang (17.91%),0.0,1,1,0,0,0,2,10.19,10.77,16.0,7.91,56.76,0.0,0.0,PT. Heinz ABC Indonesia
Royco sup krim jagung,Tidak Diketahui,1 g,70.0,1.0,11.0,2.0,4.0,380.0,0.0,3.26,1.67,3.38,2.99,25.33,0.0,26.0,0.0,4.0,4.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Waspada,Aman,Waspada,natrium %AKG tinggi (25.33%),0.95,0,0,0,2,0,2,2.64,1.54,2.67,2.56,0.0,25.33,25.33,Tidak Diketahui
BANGO Kecap Manis Light,Tidak Diketahui,0 g,40.0,0.0,10.0,0.0,8.0,140.0,0.0,1.86,0.0,3.08,0.0,9.33,0.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.35,0,0,0,0,0,0,1.51,0.0,0.0,2.33,0.0,9.33,9.33,Tidak Diketahui
Happy Tos Tortilla Chips,PT. Sinar Kencana Agung,1 g,60.0,2.0,16.0,7.0,1.0,125.0,1.0,6.05,3.33,4.92,10.45,8.33,15.0,9.0,0.0,0.0,0.0,11.0,0.0,1.0,0,1.0,Aman,Batasi,Batasi,Aman,Aman,Batasi,lemak total %AKG sedang (10.45%); lemak jenuh %AKG sedang (15.00%),0.3125,0,1,1,0,0,2,2.26,3.08,9.33,3.72,2.7,8.33,8.33,PT. Sinar Kencana Agung
super bubur rasa ayam,PT. DELIFOOD SENTOSA CORPINDO,3 g,170.0,3.0,32.0,3.0,0.0,840.0,0.0,7.91,5.0,9.85,4.48,56.0,0.0,56.0,0.0,10.0,8.0,0.0,0.0,3.0,0,3.0,Aman,Aman,Aman,Waspada,Aman,Waspada,natrium %AKG tinggi (56.00%),2.1,0,0,0,2,0,2,6.42,4.62,4.0,7.44,0.0,56.0,56.0,PT. DELIFOOD SENTOSA CORPINDO
Suki Rasa Ayam Kecap,PT. Siantar Top Tbk,2 g,100.0,2.0,13.0,4.0,1.0,240.0,0.0,4.65,3.33,4.0,5.97,16.0,0.0,16.0,0.0,0.0,5.0,6.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Batasi,Aman,Batasi,natrium %AKG sedang (16.00%),0.6,0,0,0,1,0,1,3.77,3.08,5.33,3.02,0.0,16.0,16.0,PT. Siantar Top Tbk.
Mie Sedaap baso spesial,PT. Indofood Sukses Makmur,6 g,340.0,9.0,47.0,13.0,2.0,0.0,6.0,15.81,15.0,14.46,19.4,0.0,0.0,0.0,0.0,0.0,16.0,20.0,20.0,6.0,0,6.0,Batasi,Batasi,Aman,Aman,Aman,Batasi,energi %AKG sedang (15.81%); lemak total %AKG sedang (19.40%),0.0,1,1,0,0,0,2,12.83,13.85,17.33,10.93,16.22,0.0,0.0,PT. Indofood Sukses Makmur
Naraya melon seed,PT. Interfood sukses jasindo,6 g,130.0,6.0,2.0,10.0,0.0,180.0,0.0,6.05,10.0,0.62,14.93,12.0,0.0,12.0,10.0,0.0,0.0,15.0,0.0,6.0,0,6.0,Aman,Batasi,Aman,Batasi,Aman,Batasi,lemak total %AKG sedang (14.93%); natrium %AKG sedang (12.00%),0.45,0,1,0,1,0,2,4.91,9.23,13.33,0.47,0.0,12.0,12.0,PT. Interfood sukses jasindo
You C1000 vitamin lemon,PT. Djojonegoro,0 g,700.0,0.0,16.0,0.0,16.0,0.0,0.0,32.56,0.0,4.92,0.0,0.0,0.0,0.0,0.0,5.0,33.0,0.0,0.0,0.0,1,2.0,Waspada,Aman,Aman,Aman,Batasi,Waspada,energi %AKG tinggi (32.56%); gula sedang (16.00 g),0.0,2,0,0,0,1,3,26.42,0.0,0.0,3.72,0.0,0.0,0.0,PT. Djojonegoro
Kopi Good day the original,PT. Santos jaya abadi,1 g,90.0,1.0,16.0,2.5,13.0,0.0,1.0,4.19,1.67,4.92,3.73,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (13.00 g),0.0,0,0,0,0,1,1,3.4,1.54,3.33,3.72,2.7,0.0,0.0,PT. Santos jaya abadi
Naraya Coklat Cookies,Tidak Diketahui,1 g,50.0,1.0,6.0,3.0,0.0,45.0,0.0,2.33,1.67,1.85,4.48,3.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.1125,0,0,0,0,0,0,1.89,1.54,4.0,1.4,0.0,3.0,3.0,Tidak Diketahui
Susu On gold standard whey,PT. Optimum Nutrition,0.50 g,120.0,20.0,3.0,1.8,1.6,0.0,0.5,5.58,33.33,0.92,2.69,0.0,0.0,0.0,34.0,0.0,6.0,3.0,0.0,0.5,0,0.5,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.53,30.77,2.4,0.7,1.35,0.0,0.0,PT. Optimum Nutrition
Sariroti roti tawar gandum,PT. Nippon Indosari corporindo Tbk,6 g,190.0,6.0,32.0,3.5,2.0,290.0,6.0,8.84,10.0,9.85,5.22,19.33,0.0,20.0,10.0,0.0,0.0,0.0,20.0,6.0,0,6.0,Aman,Aman,Aman,Batasi,Aman,Batasi,natrium %AKG sedang (19.33%),0.725,0,0,0,1,0,1,7.17,9.23,4.67,7.44,16.22,19.33,19.33,PT. Nippon Indosari corporindo Tbk.
King's Fisher sarden sambal bangkok,PT. Bali Maya Permai Food Canning Industry,8 g,70.0,8.0,6.0,2.0,0.0,0.0,0.0,3.26,13.33,1.85,2.99,0.0,0.0,0.0,14.0,0.0,4.0,3.0,0.0,8.0,0,8.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,2.64,12.31,2.67,1.4,0.0,0.0,0.0,PT. Bali Maya Permai Food Canning Industry
Ultra Sari Asem Asli,"PT. Ultrajaya Milk Industry, Tbk",0 g,130.0,0.0,32.0,0.0,0.0,0.0,0.0,6.05,0.0,9.85,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.91,0.0,0.0,7.44,0.0,0.0,0.0,PT. Ultrajaya Milk Industry Tbk.
Mie Sedaap Cup Mi Kuah Bakso,PT.Wings food,8 g,350.0,8.0,45.0,15.0,0.0,1070.0,0.0,16.28,13.33,13.85,22.39,71.33,0.0,72.0,0.0,0.0,17.0,23.0,0.0,8.0,0,8.0,Batasi,Waspada,Aman,Waspada,Aman,Waspada,energi %AKG sedang (16.28%); lemak total %AKG tinggi (22.39%); natrium %AKG tinggi (71.33%),2.675,1,2,0,2,0,5,13.21,12.31,20.0,10.47,0.0,71.33,71.33,PT. Wings food
Croissant,Tidak Diketahui,1 g,180.0,3.0,21.0,9.0,0.0,0.0,1.0,8.37,5.0,6.46,13.43,0.0,0.0,0.0,0.0,7.0,9.0,14.0,0.0,1.0,0,1.0,Aman,Batasi,Aman,Aman,Aman,Batasi,lemak total %AKG sedang (13.43%),0.0,0,1,0,0,0,1,6.79,4.62,12.0,4.88,2.7,0.0,0.0,Tidak Diketahui
MR.P Cashewnuts,PT. Mitrasatrya Perkasautama,7 g,250.0,7.0,11.0,19.0,0.0,0.0,0.0,11.63,11.67,3.38,28.36,0.0,0.0,0.0,12.0,0.0,12.0,29.0,0.0,7.0,0,7.0,Batasi,Waspada,Aman,Aman,Aman,Waspada,energi %AKG sedang (11.63%); lemak total %AKG tinggi (28.36%),0.0,1,2,0,0,0,3,9.43,10.77,25.33,2.56,0.0,0.0,0.0,PT. Mitrasatrya Perkasautama
Origo coffe strawberry kopi susu,Tidak Diketahui,2.43 g,108.0,2.43,12.55,4.34,10.25,0.0,0.0,5.02,4.05,3.86,6.48,0.0,0.0,0.0,5.0,0.0,6.0,7.0,0.0,2.43,0,2.43,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (10.25 g),0.0,0,0,0,0,1,1,4.08,3.74,5.79,2.92,0.0,0.0,0.0,Tidak Diketahui
Permen KIS mini assorted,PT. Mayora Indah Tbk.,0 g,30.0,0.0,7.0,0.0,5.0,0.0,0.0,1.4,0.0,2.15,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,1.13,0.0,0.0,1.63,0.0,0.0,0.0,PT. Mayora Indah Tbk.
donat Krispy kreme mini original glazed,Tidak Diketahui,0.30 g,83.3,1.0,10.0,4.3,4.7,0.0,0.3,3.87,1.67,3.08,6.42,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.3,0,0.3,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.14,1.54,5.73,2.33,0.81,0.0,0.0,Tidak Diketahui
Sarimi Gelas Rasa Baso Sapi,PT. Indofood CBP Sukses Makmur Tbk,3 g,50.0,2.0,18.0,6.0,2.0,390.0,3.0,6.51,3.33,5.54,8.96,26.0,15.0,26.0,0.0,0.0,0.0,0.0,10.0,3.0,0,3.0,Aman,Aman,Batasi,Waspada,Aman,Waspada,lemak jenuh %AKG sedang (15.00%); natrium %AKG tinggi (26.00%),0.975,0,0,1,2,0,3,1.89,3.08,8.0,4.19,8.11,26.0,26.0,PT. Indofood CBP Sukses Makmur Tbk.
Maya Sardines Chili sause,PT. Maya Muncar,0.23 g,180.0,12.08,2.6,2.11,0.0,0.2,0.0,8.37,20.13,0.8,3.15,0.01,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.23,0,0.23,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0005,0,0,0,0,0,0,6.79,18.58,2.81,0.6,0.0,0.01,0.01,PT. Maya Muncar
Good Day rock caramello 3 in 1 200g,PT. Santos jaya abadi,1 g,40.0,1.0,14.0,4.5,13.0,100.0,1.0,4.65,1.67,4.31,6.72,6.67,23.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,0,1.0,Aman,Aman,Waspada,Aman,Batasi,Waspada,lemak jenuh %AKG tinggi (23.00%); gula sedang (13.00 g),0.25,0,0,2,0,1,3,1.51,1.54,6.0,3.26,2.7,6.67,6.67,PT. Santos jaya abadi
PRONAS Sarden saus pedas (425 g),PT. GEMA ISTA RAYA,8 g,80.0,8.0,2.0,4.0,0.0,120.0,0.0,3.72,13.33,0.62,5.97,8.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,0,8.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (13.00%),0.3,0,0,1,0,0,1,3.02,12.31,5.33,0.47,0.0,8.0,8.0,PT. GEMA ISTA RAYA
Chitato,PT. Indofood CBP Sukses Makmur Tbk.,2 g,110.0,2.0,11.0,6.0,0.0,0.0,0.0,5.12,3.33,3.38,8.96,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.15,3.08,8.0,2.56,0.0,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Pop mie rasa baso,Tidak Diketahui,3 g,140.0,8.0,47.0,15.0,5.0,720.0,3.0,16.74,13.33,14.46,22.39,48.0,35.0,48.0,0.0,0.0,0.0,23.0,0.0,3.0,0,3.0,Batasi,Waspada,Waspada,Waspada,Aman,Waspada,energi %AKG sedang (16.74%); lemak total %AKG tinggi (22.39%); lemak jenuh %AKG tinggi (35.00%); natrium %AKG tinggi (48.00%),1.8,1,2,2,2,0,7,5.28,12.31,20.0,10.93,8.11,48.0,48.0,Tidak Diketahui
Sariroti sandwich coklat,PT. Nippon Indosari corporindo Tbk,2 g,150.0,3.0,21.0,6.0,4.0,125.0,2.0,6.98,5.0,6.46,8.96,8.33,0.0,9.0,0.0,0.0,7.0,9.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.3125,0,0,0,0,0,0,5.66,4.62,8.0,4.88,5.41,8.33,8.33,PT. Nippon Indosari corporindo Tbk.
Lemonia Biscuit,PT. Serena Indopangan Industri,1 g,45.0,1.0,13.0,5.0,5.0,50.0,1.0,4.65,1.67,4.0,7.46,3.33,10.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0,1.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (10.00%),0.125,0,0,1,0,0,1,1.7,1.54,6.67,3.02,2.7,3.33,3.33,PT. Serena Indopangan Industri
Mie telur cap 3 ayam,PT. Indofood CBP Sukses Makmur Tbk.,6 g,230.0,8.0,49.0,0.0,2.0,0.0,6.0,10.7,13.33,15.08,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,20.0,6.0,0,6.0,Batasi,Aman,Aman,Aman,Aman,Batasi,energi %AKG sedang (10.70%),0.0,1,0,0,0,0,1,8.68,12.31,0.0,11.4,16.22,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Starbucks hot caramel macchiato (nonfat milk),Tidak Diketahui,11 g,200.0,11.0,36.0,1.5,0.0,0.0,0.0,9.3,18.33,11.08,2.24,0.0,0.0,0.0,19.0,12.0,10.0,0.0,0.0,11.0,0,11.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,7.55,16.92,2.0,8.37,0.0,0.0,0.0,Tidak Diketahui
Bango Bumbu Kuliner Nusantara Tongseng Khas Solo,PT. Sekar Laut Tbk,1 g,15.0,0.0,5.0,1.5,4.0,800.0,1.0,1.63,0.0,1.54,2.24,53.33,3.0,54.0,0.0,0.0,0.0,0.0,4.0,1.0,0,1.0,Aman,Aman,Aman,Waspada,Aman,Waspada,natrium %AKG tinggi (53.33%),2.0,0,0,0,2,0,2,0.57,0.0,2.0,1.16,2.7,53.33,53.33,PT. Sekar Laut Tbk.
Pizza hut deluxe cheeses,PT. Sarimelati kencana Tbk,1 g,150.0,6.0,17.0,6.0,2.0,0.0,1.0,6.98,10.0,5.23,8.96,0.0,0.0,0.0,10.0,0.0,7.0,9.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,5.66,9.23,8.0,3.95,2.7,0.0,0.0,PT. Sarimelati kencana Tbk.
Mi ABC cup baso sapi,PT.Wings food,4 g,290.0,7.0,34.0,13.0,3.0,0.0,4.0,13.49,11.67,10.46,19.4,0.0,0.0,0.0,0.0,0.0,14.0,20.0,14.0,4.0,0,4.0,Batasi,Batasi,Aman,Aman,Aman,Batasi,energi %AKG sedang (13.49%); lemak total %AKG sedang (19.40%),0.0,1,1,0,0,0,2,10.94,10.77,17.33,7.91,10.81,0.0,0.0,PT. Wings food
Teh Javana,PT. Tirta Alam Segar,0 g,0.0,0.0,28.0,0.0,28.0,75.0,0.0,5.12,0.0,8.62,0.0,5.0,0.0,5.0,0.0,9.0,6.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (28.00 g),0.1875,0,0,0,0,2,2,0.0,0.0,0.0,6.51,0.0,5.0,5.0,PT. Tirta Alam Segar
Biokul greek  yogurt,PT. Sukanda djaya,6 g,160.0,6.0,6.0,12.0,2.0,0.0,0.0,7.44,10.0,1.85,17.91,0.0,0.0,0.0,10.0,0.0,8.0,18.0,0.0,6.0,0,6.0,Aman,Batasi,Aman,Aman,Aman,Batasi,lemak total %AKG sedang (17.91%),0.0,0,1,0,0,0,1,6.04,9.23,16.0,1.4,0.0,0.0,0.0,PT. Sukanda djaya
Frisian flag sweet delight,PT. Frisian Flag Indonesia,6 g,150.0,6.0,20.0,6.0,18.0,75.0,0.0,6.98,10.0,6.15,8.96,5.0,0.0,0.0,10.0,0.0,7.0,9.0,0.0,6.0,0,6.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (18.00 g),0.1875,0,0,0,0,1,1,5.66,9.23,8.0,4.65,0.0,5.0,5.0,PT. Frisian Flag Indonesia
Ahh Nabati Richeese,Tidak Diketahui,0 g,10.0,0.0,3.0,1.0,1.0,15.0,0.0,0.93,0.0,0.92,1.49,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0375,0,0,0,0,0,0,0.38,0.0,1.33,0.7,0.0,1.0,1.0,Tidak Diketahui
Indomie mi kuah,PT. Indofood CBP Sukses Makmur Tbk.,2 g,300.0,7.0,43.0,11.0,3.0,0.0,2.0,13.95,11.67,13.23,16.42,0.0,0.0,0.0,0.0,14.0,14.0,17.0,0.0,2.0,0,2.0,Batasi,Batasi,Aman,Aman,Aman,Batasi,energi %AKG sedang (13.95%); lemak total %AKG sedang (16.42%),0.0,1,1,0,0,0,2,11.32,10.77,14.67,10.0,5.41,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Keju mozzarella,Tidak Diketahui,27.50 g,280.0,27.5,3.1,17.1,0.0,0.0,0.0,13.02,45.83,0.95,25.52,0.0,0.0,0.0,46.0,0.0,14.0,26.0,0.0,27.5,0,27.5,Batasi,Waspada,Aman,Aman,Aman,Waspada,energi %AKG sedang (13.02%); lemak total %AKG tinggi (25.52%),0.0,1,2,0,0,0,3,10.57,42.31,22.8,0.72,0.0,0.0,0.0,Tidak Diketahui
Permen frozz lime mint,PT. Konimex,0 g,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,PT. Konimex
Eskrim magnum white almond,PT. Andrawina Darma Manunggal Mulya,3 g,230.0,3.0,23.0,14.0,13.0,0.0,3.0,10.7,5.0,7.08,20.9,0.0,0.0,0.0,0.0,0.0,11.0,21.0,10.0,3.0,0,3.0,Batasi,Waspada,Aman,Aman,Batasi,Waspada,energi %AKG sedang (10.70%); lemak total %AKG tinggi (20.90%); gula sedang (13.00 g),0.0,1,2,0,0,1,4,8.68,4.62,18.67,5.35,8.11,0.0,0.0,PT. Andrawina Darma Manunggal Mulya
Pop mie mie goreng pedas,PT. Indofood CBP Sukses Makmur Tbk.,6 g,370.0,6.0,49.0,17.0,4.0,0.0,6.0,17.21,10.0,15.08,25.37,0.0,0.0,0.0,0.0,0.0,18.0,26.0,20.0,6.0,0,6.0,Batasi,Waspada,Aman,Aman,Aman,Waspada,energi %AKG sedang (17.21%); lemak total %AKG tinggi (25.37%),0.0,1,2,0,0,0,3,13.96,9.23,22.67,11.4,16.22,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Roma Sandwich,Tidak Diketahui,2 g,140.0,2.0,17.0,7.0,6.0,80.0,0.0,6.51,3.33,5.23,10.45,5.33,0.0,6.0,0.0,0.0,7.0,11.0,0.0,2.0,0,2.0,Aman,Batasi,Aman,Aman,Aman,Batasi,lemak total %AKG sedang (10.45%),0.2,0,1,0,0,0,1,5.28,3.08,9.33,3.95,0.0,5.33,5.33,Tidak Diketahui
Piattos Sambal Geprek Flavor,PT. URC Indonesia,2 g,45.0,1.0,13.0,5.0,1.0,100.0,2.0,4.65,1.67,4.0,7.46,6.67,10.0,7.0,0.0,0.0,0.0,8.0,0.0,2.0,0,2.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (10.00%),0.25,0,0,1,0,0,1,1.7,1.54,6.67,3.02,5.41,6.67,6.67,PT. URC Indonesia
Nutrijell pudding suus rasa vanila (120 g),PT. Forisa Nusapersada,0 g,40.0,0.0,8.0,0.5,5.0,30.0,0.0,1.86,0.0,2.46,0.75,2.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.075,0,0,0,0,0,0,1.51,0.0,0.67,1.86,0.0,2.0,2.0,PT. Forisa Nusapersada
Mie sedaap kari spesial,PT. Indofood Sukses Makmur,3 g,340.0,8.0,48.0,13.0,2.0,0.0,3.0,15.81,13.33,14.77,19.4,0.0,0.0,0.0,0.0,15.0,16.0,20.0,0.0,3.0,0,3.0,Batasi,Batasi,Aman,Aman,Aman,Batasi,energi %AKG sedang (15.81%); lemak total %AKG sedang (19.40%),0.0,1,1,0,0,0,2,12.83,12.31,17.33,11.16,8.11,0.0,0.0,PT. Indofood Sukses Makmur
